Transition Profile during evaluation with reward shaping:
Q-table shape: (7, 6, 24, 5, 4, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week', 'Season']
State bin size: [7, 6, 24, 5, 4]
Bins length: 5
Bins: [array([  0.        ,  41.42857143,  82.85714286, 124.28571429,
       165.71428571, 207.14285714, 248.57142857, 290.        ]), array([1.00000000e-02, 2.60683333e+01, 5.21266667e+01, 7.81850000e+01,
       1.04243333e+02, 1.30301667e+02, 1.56360000e+02]), array([ 1.,  2.,  3.,  4.,  5.,  6.,  7.,  8.,  9., 10., 11., 12., 13.,
       14., 15., 16., 17., 18., 19., 20., 21., 22., 23., 24., 25.]), array([0. , 1.2, 2.4, 3.6, 4.8, 6. ]), array([0.  , 0.75, 1.5 , 2.25, 3.  ])]
Discount rate: 0.3998609717152556
Small reward: 46.66566321361543
Large reward: 19475.110376829187
Learning rate: 0.06983140212909128
N episodes: 10
State: [10.  24.2  4.   3. ], Action: 0, Reward: -0.0, Next state: [10.   12.02  5.    3.  ]
State: [10.   12.02  5.    3.  ], Action: 0, Reward: -0.0, Next state: [10. 27.  6.  3.]
State: [10. 27.  6.  3.], Action: 0, Reward: -0.0, Next state: [10. 28.  7.  3.]
State: [10. 28.  7.  3.], Action: 0, Reward: -0.0, Next state: [10.   34.85  8.    3.  ]
State: [10.   34.85  8.    3.  ], Action: 0, Reward: -0.0, Next state: [10.   41.31  9.    3.  ]
State: [10.   41.31  9.    3.  ], Action: 0, Reward: -0.0, Next state: [10.   42.03 10.    3.  ]
State: [10.   42.03 10.    3.  ], Action: 1, Reward: -420.3, Next state: [20. 46. 11.  3.]
State: [20. 46. 11.  3.], Action: 0, Reward: -0.0, Next state: [20.   45.96 12.    3.  ]
State: [20.   45.96 12.    3.  ], Action: 1, Reward: -459.6, Next state: [30.  45.6 13.   3. ]
State: [30.  45.6 13.   3. ], Action: 1, Reward: -456.0, Next state: [40.   42.35 14.    3.  ]
State: [40.   42.35 14.    3.  ], Action: 2, Reward: -423.5, Next state: [50.   40.01 15.    3.  ]
State: [50.   40.01 15.    3.  ], Action: 2, Reward: -400.09999999999997, Next state: [60. 38. 16.  3.]
State: [60. 38. 16.  3.], Action: 1, Reward: -380.0, Next state: [70.   42.66 17.    3.  ]
State: [70.   42.66 17.    3.  ], Action: 0, Reward: -0.0, Next state: [70. 53. 18.  3.]
State: [70. 53. 18.  3.], Action: 0, Reward: -0.0, Next state: [70.   58.99 19.    3.  ]
State: [70.   58.99 19.    3.  ], Action: 2, Reward: -589.9, Next state: [80.  53.5 20.   3. ]
State: [80.  53.5 20.   3. ], Action: 0, Reward: -0.0, Next state: [80.   44.01 21.    3.  ]
State: [80.   44.01 21.    3.  ], Action: 1, Reward: -440.09999999999997, Next state: [90. 35. 22.  3.]
State: [90. 35. 22.  3.], Action: 1, Reward: -350.0, Next state: [100.    34.46  23.     3.  ]
State: [100.    34.46  23.     3.  ], Action: 2, Reward: -344.6, Next state: [110.    31.57  24.     3.  ]
State: [110.    31.57  24.     3.  ], Action: 1, Reward: -315.7, Next state: [ 0. 22.  1.  4.]
State: [ 0. 22.  1.  4.], Action: 2, Reward: -220.0, Next state: [10.  19.5  2.   4. ]
State: [10.  19.5  2.   4. ], Action: 0, Reward: -0.0, Next state: [10.   17.55  3.    4.  ]
State: [10.   17.55  3.    4.  ], Action: 0, Reward: -0.0, Next state: [10.   15.91  4.    4.  ]
State: [10.   15.91  4.    4.  ], Action: 0, Reward: -0.0, Next state: [10.  11.4  5.   4. ]
State: [10.  11.4  5.   4. ], Action: 0, Reward: -0.0, Next state: [10.   22.65  6.    4.  ]
State: [10.   22.65  6.    4.  ], Action: 0, Reward: -0.0, Next state: [10.  27.3  7.   4. ]
State: [10.  27.3  7.   4. ], Action: 0, Reward: -0.0, Next state: [10. 34.  8.  4.]
State: [10. 34.  8.  4.], Action: 0, Reward: -0.0, Next state: [10.   40.01  9.    4.  ]
State: [10.   40.01  9.    4.  ], Action: 0, Reward: -0.0, Next state: [10. 45. 10.  4.]
State: [10. 45. 10.  4.], Action: 0, Reward: -0.0, Next state: [10.   50.34 11.    4.  ]
State: [10.   50.34 11.    4.  ], Action: 0, Reward: -0.0, Next state: [10.   49.84 12.    4.  ]
State: [10.   49.84 12.    4.  ], Action: 2, Reward: -498.40000000000003, Next state: [20.   48.81 13.    4.  ]
State: [20.   48.81 13.    4.  ], Action: 2, Reward: -488.1, Next state: [30.   47.94 14.    4.  ]
State: [30.   47.94 14.    4.  ], Action: 1, Reward: -479.4, Next state: [40.   40.06 15.    4.  ]
State: [40.   40.06 15.    4.  ], Action: 2, Reward: -400.6, Next state: [50. 38. 16.  4.]
State: [50. 38. 16.  4.], Action: 2, Reward: -380.0, Next state: [60.   38.61 17.    4.  ]
State: [60.   38.61 17.    4.  ], Action: 0, Reward: -0.0, Next state: [60.   49.84 18.    4.  ]
State: [60.   49.84 18.    4.  ], Action: 0, Reward: -0.0, Next state: [60. 53. 19.  4.]
State: [60. 53. 19.  4.], Action: 1, Reward: -530.0, Next state: [70.   45.91 20.    4.  ]
State: [70.   45.91 20.    4.  ], Action: 0, Reward: -459.09999999999997, Next state: [80.   36.74 21.    4.  ]
State: [80.   36.74 21.    4.  ], Action: 1, Reward: -367.40000000000003, Next state: [90.   29.61 22.    4.  ]
State: [90.   29.61 22.    4.  ], Action: 2, Reward: -296.1, Next state: [100.    30.61  23.     4.  ]
State: [100.    30.61  23.     4.  ], Action: 2, Reward: -306.1, Next state: [110.    27.51  24.     4.  ]
State: [110.    27.51  24.     4.  ], Action: 0, Reward: -275.1, Next state: [ 0. 25.  1.  5.]
State: [ 0. 25.  1.  5.], Action: 2, Reward: -250.0, Next state: [10.   22.99  2.    5.  ]
State: [10.   22.99  2.    5.  ], Action: 0, Reward: -0.0, Next state: [10.   20.99  3.    5.  ]
State: [10.   20.99  3.    5.  ], Action: 0, Reward: -0.0, Next state: [10. 18.  4.  5.]
State: [10. 18.  4.  5.], Action: 0, Reward: -0.0, Next state: [10.   16.95  5.    5.  ]
State: [10.   16.95  5.    5.  ], Action: 0, Reward: -0.0, Next state: [10.   20.01  6.    5.  ]
State: [10.   20.01  6.    5.  ], Action: 0, Reward: -0.0, Next state: [10. 20.  7.  5.]
State: [10. 20.  7.  5.], Action: 0, Reward: -0.0, Next state: [10.   25.57  8.    5.  ]
State: [10.   25.57  8.    5.  ], Action: 0, Reward: -0.0, Next state: [10.   27.69  9.    5.  ]
State: [10.   27.69  9.    5.  ], Action: 0, Reward: -0.0, Next state: [10.   29.61 10.    5.  ]
State: [10.   29.61 10.    5.  ], Action: 1, Reward: -296.1, Next state: [20.   31.99 11.    5.  ]
State: [20.   31.99 11.    5.  ], Action: 0, Reward: -0.0, Next state: [20.   33.07 12.    5.  ]
State: [20.   33.07 12.    5.  ], Action: 1, Reward: -330.7, Next state: [30.   35.99 13.    5.  ]
State: [30.   35.99 13.    5.  ], Action: 1, Reward: -359.90000000000003, Next state: [40.   33.11 14.    5.  ]
State: [40.   33.11 14.    5.  ], Action: 1, Reward: -331.1, Next state: [50.  31.3 15.   5. ]
State: [50.  31.3 15.   5. ], Action: 1, Reward: -313.0, Next state: [60.   29.29 16.    5.  ]
State: [60.   29.29 16.    5.  ], Action: 1, Reward: -292.9, Next state: [70.   30.19 17.    5.  ]
State: [70.   30.19 17.    5.  ], Action: 0, Reward: -0.0, Next state: [70.   42.05 18.    5.  ]
State: [70.   42.05 18.    5.  ], Action: 0, Reward: -0.0, Next state: [70. 50. 19.  5.]
State: [70. 50. 19.  5.], Action: 2, Reward: -500.0, Next state: [80.  48.3 20.   5. ]
State: [80.  48.3 20.   5. ], Action: 0, Reward: -0.0, Next state: [80.   34.49 21.    5.  ]
State: [80.   34.49 21.    5.  ], Action: 1, Reward: -344.90000000000003, Next state: [90.   28.99 22.    5.  ]
State: [90.   28.99 22.    5.  ], Action: 1, Reward: -289.9, Next state: [100.  30.  23.   5.]
State: [100.  30.  23.   5.], Action: 2, Reward: -300.0, Next state: [110.    26.75  24.     5.  ]
State: [110.    26.75  24.     5.  ], Action: 0, Reward: -267.5, Next state: [ 0. 22.  1.  6.]
State: [ 0. 22.  1.  6.], Action: 2, Reward: -220.0, Next state: [10.   18.29  2.    6.  ]
State: [10.   18.29  2.    6.  ], Action: 0, Reward: -0.0, Next state: [10.   16.59  3.    6.  ]
State: [10.   16.59  3.    6.  ], Action: 0, Reward: -0.0, Next state: [10.    9.17  4.    6.  ]
State: [10.    9.17  4.    6.  ], Action: 0, Reward: -0.0, Next state: [10.  8.  5.  6.]
State: [10.  8.  5.  6.], Action: 0, Reward: -0.0, Next state: [10.    8.19  6.    6.  ]
State: [10.    8.19  6.    6.  ], Action: 0, Reward: -0.0, Next state: [10.    9.01  7.    6.  ]
State: [10.    9.01  7.    6.  ], Action: 0, Reward: -0.0, Next state: [10.    9.06  8.    6.  ]
State: [10.    9.06  8.    6.  ], Action: 0, Reward: -0.0, Next state: [10.   12.59  9.    6.  ]
State: [10.   12.59  9.    6.  ], Action: 0, Reward: -0.0, Next state: [10.  16.1 10.   6. ]
State: [10.  16.1 10.   6. ], Action: 0, Reward: -0.0, Next state: [10. 23. 11.  6.]
State: [10. 23. 11.  6.], Action: 0, Reward: -0.0, Next state: [10.   28.27 12.    6.  ]
State: [10.   28.27 12.    6.  ], Action: 1, Reward: -282.7, Next state: [20.   26.91 13.    6.  ]
State: [20.   26.91 13.    6.  ], Action: 1, Reward: -269.1, Next state: [30.   23.99 14.    6.  ]
State: [30.   23.99 14.    6.  ], Action: 1, Reward: -239.89999999999998, Next state: [40.   20.99 15.    6.  ]
State: [40.   20.99 15.    6.  ], Action: 2, Reward: -209.89999999999998, Next state: [50.   22.59 16.    6.  ]
State: [50.   22.59 16.    6.  ], Action: 1, Reward: -225.9, Next state: [60.  22.6 17.   6. ]
State: [60.  22.6 17.   6. ], Action: 0, Reward: -0.0, Next state: [60.   33.49 18.    6.  ]
State: [60.   33.49 18.    6.  ], Action: 0, Reward: -0.0, Next state: [60.   34.99 19.    6.  ]
State: [60.   34.99 19.    6.  ], Action: 2, Reward: -349.90000000000003, Next state: [70.   35.99 20.    6.  ]
State: [70.   35.99 20.    6.  ], Action: 0, Reward: -359.90000000000003, Next state: [80.   35.69 21.    6.  ]
State: [80.   35.69 21.    6.  ], Action: 1, Reward: -356.9, Next state: [90.   29.39 22.    6.  ]
State: [90.   29.39 22.    6.  ], Action: 1, Reward: -293.9, Next state: [100.    31.29  23.     6.  ]
State: [100.    31.29  23.     6.  ], Action: 2, Reward: -312.9, Next state: [110.  23.  24.   6.]
State: [110.  23.  24.   6.], Action: 1, Reward: -230.0, Next state: [ 0. 13.  1.  7.]
State: [ 0. 13.  1.  7.], Action: 2, Reward: -130.0, Next state: [10. 13.  2.  7.]
State: [10. 13.  2.  7.], Action: 0, Reward: -0.0, Next state: [10. 10.  3.  7.]
State: [10. 10.  3.  7.], Action: 0, Reward: -0.0, Next state: [10.   3.4  4.   7. ]
State: [10.   3.4  4.   7. ], Action: 0, Reward: -0.0, Next state: [10. 10.  5.  7.]
State: [10. 10.  5.  7.], Action: 0, Reward: -0.0, Next state: [10. 13.  6.  7.]
State: [10. 13.  6.  7.], Action: 0, Reward: -0.0, Next state: [10.   24.01  7.    7.  ]
State: [10.   24.01  7.    7.  ], Action: 0, Reward: -0.0, Next state: [10.  43.9  8.   7. ]
State: [10.  43.9  8.   7. ], Action: 0, Reward: -0.0, Next state: [10.  45.7  9.   7. ]
State: [10.  45.7  9.   7. ], Action: 0, Reward: -0.0, Next state: [10. 43. 10.  7.]
State: [10. 43. 10.  7.], Action: 1, Reward: -430.0, Next state: [20. 43. 11.  7.]
State: [20. 43. 11.  7.], Action: 0, Reward: -0.0, Next state: [20. 46. 12.  7.]
State: [20. 46. 12.  7.], Action: 1, Reward: -460.0, Next state: [30.   46.01 13.    7.  ]
State: [30.   46.01 13.    7.  ], Action: 1, Reward: -460.09999999999997, Next state: [40.   46.01 14.    7.  ]
State: [40.   46.01 14.    7.  ], Action: 1, Reward: -460.09999999999997, Next state: [50.   40.07 15.    7.  ]
State: [50.   40.07 15.    7.  ], Action: 1, Reward: -400.7, Next state: [60.   38.97 16.    7.  ]
State: [60.   38.97 16.    7.  ], Action: 1, Reward: -389.7, Next state: [70.   46.01 17.    7.  ]
State: [70.   46.01 17.    7.  ], Action: 0, Reward: -0.0, Next state: [70.   52.01 18.    7.  ]
State: [70.   52.01 18.    7.  ], Action: 0, Reward: -0.0, Next state: [70. 54. 19.  7.]
State: [70. 54. 19.  7.], Action: 0, Reward: -0.0, Next state: [70.   50.17 20.    7.  ]
State: [70.   50.17 20.    7.  ], Action: 0, Reward: -501.70000000000005, Next state: [80. 45. 21.  7.]
State: [80. 45. 21.  7.], Action: 1, Reward: -450.0, Next state: [90.   30.56 22.    7.  ]
State: [90.   30.56 22.    7.  ], Action: 1, Reward: -305.59999999999997, Next state: [100.    30.01  23.     7.  ]
State: [100.    30.01  23.     7.  ], Action: 2, Reward: -300.1, Next state: [110.    28.01  24.     7.  ]
State: [110.    28.01  24.     7.  ], Action: 0, Reward: -280.1, Next state: [ 0.   18.51  1.    8.  ]
State: [ 0.   18.51  1.    8.  ], Action: 2, Reward: -185.10000000000002, Next state: [10.   16.81  2.    8.  ]
State: [10.   16.81  2.    8.  ], Action: 0, Reward: -0.0, Next state: [10.   13.01  3.    8.  ]
State: [10.   13.01  3.    8.  ], Action: 0, Reward: -0.0, Next state: [10.   10.01  4.    8.  ]
State: [10.   10.01  4.    8.  ], Action: 0, Reward: -0.0, Next state: [10.    8.17  5.    8.  ]
State: [10.    8.17  5.    8.  ], Action: 0, Reward: -0.0, Next state: [10. 16.  6.  8.]
State: [10. 16.  6.  8.], Action: 0, Reward: -0.0, Next state: [10. 26.  7.  8.]
State: [10. 26.  7.  8.], Action: 0, Reward: -0.0, Next state: [10.   36.54  8.    8.  ]
State: [10.   36.54  8.    8.  ], Action: 0, Reward: -0.0, Next state: [10. 40.  9.  8.]
State: [10. 40.  9.  8.], Action: 0, Reward: -0.0, Next state: [10.   39.33 10.    8.  ]
State: [10.   39.33 10.    8.  ], Action: 2, Reward: -393.29999999999995, Next state: [20.   40.69 11.    8.  ]
State: [20.   40.69 11.    8.  ], Action: 0, Reward: -0.0, Next state: [20. 42. 12.  8.]
State: [20. 42. 12.  8.], Action: 2, Reward: -420.0, Next state: [30.   39.28 13.    8.  ]
State: [30.   39.28 13.    8.  ], Action: 2, Reward: -392.8, Next state: [40.   37.86 14.    8.  ]
State: [40.   37.86 14.    8.  ], Action: 2, Reward: -378.6, Next state: [50. 36. 15.  8.]
State: [50. 36. 15.  8.], Action: 1, Reward: -360.0, Next state: [60.   32.31 16.    8.  ]
State: [60.   32.31 16.    8.  ], Action: 2, Reward: -323.1, Next state: [70.   38.76 17.    8.  ]
State: [70.   38.76 17.    8.  ], Action: 0, Reward: -0.0, Next state: [70.   47.82 18.    8.  ]
State: [70.   47.82 18.    8.  ], Action: 0, Reward: -0.0, Next state: [70.   54.14 19.    8.  ]
State: [70.   54.14 19.    8.  ], Action: 0, Reward: -0.0, Next state: [70.  48.1 20.   8. ]
State: [70.  48.1 20.   8. ], Action: 0, Reward: -481.0, Next state: [80.   44.95 21.    8.  ]
State: [80.   44.95 21.    8.  ], Action: 2, Reward: -449.5, Next state: [90. 30. 22.  8.]
State: [90. 30. 22.  8.], Action: 1, Reward: -300.0, Next state: [100.   27.5  23.    8. ]
State: [100.   27.5  23.    8. ], Action: 2, Reward: -275.0, Next state: [110.    23.13  24.     8.  ]
State: [110.    23.13  24.     8.  ], Action: 0, Reward: -231.29999999999998, Next state: [ 0.   12.43  1.    9.  ]
State: [ 0.   12.43  1.    9.  ], Action: 2, Reward: -124.3, Next state: [10.   15.09  2.    9.  ]
State: [10.   15.09  2.    9.  ], Action: 0, Reward: -0.0, Next state: [10.   13.04  3.    9.  ]
State: [10.   13.04  3.    9.  ], Action: 0, Reward: -0.0, Next state: [10.   12.01  4.    9.  ]
State: [10.   12.01  4.    9.  ], Action: 0, Reward: -0.0, Next state: [10.   11.26  5.    9.  ]
State: [10.   11.26  5.    9.  ], Action: 0, Reward: -0.0, Next state: [10. 16.  6.  9.]
State: [10. 16.  6.  9.], Action: 0, Reward: -0.0, Next state: [10.   21.01  7.    9.  ]
State: [10.   21.01  7.    9.  ], Action: 0, Reward: -0.0, Next state: [10. 36.  8.  9.]
State: [10. 36.  8.  9.], Action: 0, Reward: -0.0, Next state: [10.   35.87  9.    9.  ]
State: [10.   35.87  9.    9.  ], Action: 0, Reward: -0.0, Next state: [10.   37.21 10.    9.  ]
State: [10.   37.21 10.    9.  ], Action: 2, Reward: -372.1, Next state: [20.  37.1 11.   9. ]
State: [20.  37.1 11.   9. ], Action: 0, Reward: -0.0, Next state: [20.   37.05 12.    9.  ]
State: [20.   37.05 12.    9.  ], Action: 2, Reward: -370.5, Next state: [30.   37.48 13.    9.  ]
State: [30.   37.48 13.    9.  ], Action: 2, Reward: -374.79999999999995, Next state: [40.   36.11 14.    9.  ]
