Transition Profile during evaluationwithout reward shaping:
Q-table shape: (10, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State: [70.   29.01  7.    3.  ], Action: 2, Reward: -290.1, Next state: [80.   39.73  8.    3.  ]
State: [80.   39.73  8.    3.  ], Action: 2, Reward: -397.29999999999995, Next state: [90.   43.81  9.    3.  ]
State: [90.   43.81  9.    3.  ], Action: 0, Reward: -0.0, Next state: [90.   49.09 10.    3.  ]
State: [90.   49.09 10.    3.  ], Action: 0, Reward: -0.0, Next state: [90. 51. 11.  3.]
State: [90. 51. 11.  3.], Action: 0, Reward: -0.0, Next state: [90.   53.04 12.    3.  ]
State: [90.   53.04 12.    3.  ], Action: 0, Reward: -0.0, Next state: [90.   49.99 13.    3.  ]
State: [90.   49.99 13.    3.  ], Action: 0, Reward: -0.0, Next state: [90. 47. 14.  3.]
State: [90. 47. 14.  3.], Action: 2, Reward: -470.0, Next state: [100.    43.21  15.     3.  ]
State: [100.    43.21  15.     3.  ], Action: 2, Reward: -432.1, Next state: [110.    43.99  16.     3.  ]
State: [110.    43.99  16.     3.  ], Action: 2, Reward: -439.90000000000003, Next state: [120.  48.  17.   3.]
State: [120.  48.  17.   3.], Action: 0, Reward: -0.0, Next state: [120.  57.  18.   3.]
State: [120.  57.  18.   3.], Action: 0, Reward: -0.0, Next state: [120.    60.99  19.     3.  ]
State: [120.    60.99  19.     3.  ], Action: 0, Reward: -0.0, Next state: [120.    55.51  20.     3.  ]
State: [120.    55.51  20.     3.  ], Action: 0, Reward: -0.0, Next state: [120.    51.77  21.     3.  ]
State: [120.    51.77  21.     3.  ], Action: 0, Reward: -0.0, Next state: [120.    34.51  22.     3.  ]
State: [120.    34.51  22.     3.  ], Action: 2, Reward: -345.09999999999997, Next state: [130.    39.31  23.     3.  ]
State: [130.    39.31  23.     3.  ], Action: 2, Reward: -393.1, Next state: [140.    38.05  24.     3.  ]
State: [140.    38.05  24.     3.  ], Action: 2, Reward: -380.5, Next state: [30.   31.01  1.    4.  ]
State: [30.   31.01  1.    4.  ], Action: 2, Reward: -310.1, Next state: [40.   28.69  2.    4.  ]
State: [40.   28.69  2.    4.  ], Action: 2, Reward: -286.90000000000003, Next state: [50. 27.  3.  4.]
State: [50. 27.  3.  4.], Action: 2, Reward: -270.0, Next state: [60.  24.2  4.   4. ]
State: [60.  24.2  4.   4. ], Action: 0, Reward: -0.0, Next state: [60.   12.02  5.    4.  ]
State: [60.   12.02  5.    4.  ], Action: 0, Reward: -0.0, Next state: [60. 27.  6.  4.]
State: [60. 27.  6.  4.], Action: 0, Reward: -0.0, Next state: [60. 28.  7.  4.]
State: [60. 28.  7.  4.], Action: 0, Reward: -0.0, Next state: [60.   34.85  8.    4.  ]
State: [60.   34.85  8.    4.  ], Action: 0, Reward: -0.0, Next state: [60.   41.31  9.    4.  ]
State: [60.   41.31  9.    4.  ], Action: 0, Reward: -0.0, Next state: [60.   42.03 10.    4.  ]
State: [60.   42.03 10.    4.  ], Action: 0, Reward: -0.0, Next state: [60. 46. 11.  4.]
State: [60. 46. 11.  4.], Action: 0, Reward: -0.0, Next state: [60.   45.96 12.    4.  ]
State: [60.   45.96 12.    4.  ], Action: 0, Reward: -0.0, Next state: [60.  45.6 13.   4. ]
State: [60.  45.6 13.   4. ], Action: 0, Reward: -0.0, Next state: [60.   42.35 14.    4.  ]
State: [60.   42.35 14.    4.  ], Action: 1, Reward: -423.5, Next state: [70.   40.01 15.    4.  ]
State: [70.   40.01 15.    4.  ], Action: 1, Reward: -400.09999999999997, Next state: [80. 38. 16.  4.]
State: [80. 38. 16.  4.], Action: 1, Reward: -380.0, Next state: [90.   42.66 17.    4.  ]
State: [90.   42.66 17.    4.  ], Action: 1, Reward: -426.59999999999997, Next state: [100.  53.  18.   4.]
State: [100.  53.  18.   4.], Action: 1, Reward: -530.0, Next state: [110.    58.99  19.     4.  ]
State: [110.    58.99  19.     4.  ], Action: 1, Reward: -589.9, Next state: [120.   53.5  20.    4. ]
State: [120.   53.5  20.    4. ], Action: 0, Reward: -0.0, Next state: [120.    44.01  21.     4.  ]
State: [120.    44.01  21.     4.  ], Action: 0, Reward: -0.0, Next state: [120.  35.  22.   4.]
State: [120.  35.  22.   4.], Action: 2, Reward: -350.0, Next state: [130.    34.46  23.     4.  ]
State: [130.    34.46  23.     4.  ], Action: 2, Reward: -344.6, Next state: [140.    31.57  24.     4.  ]
State: [140.    31.57  24.     4.  ], Action: 2, Reward: -315.7, Next state: [30. 22.  1.  5.]
State: [30. 22.  1.  5.], Action: 1, Reward: -220.0, Next state: [40.  19.5  2.   5. ]
State: [40.  19.5  2.   5. ], Action: 1, Reward: -195.0, Next state: [50.   17.55  3.    5.  ]
State: [50.   17.55  3.    5.  ], Action: 1, Reward: -175.5, Next state: [60.   15.91  4.    5.  ]
State: [60.   15.91  4.    5.  ], Action: 0, Reward: -0.0, Next state: [60.  11.4  5.   5. ]
State: [60.  11.4  5.   5. ], Action: 0, Reward: -0.0, Next state: [60.   22.65  6.    5.  ]
State: [60.   22.65  6.    5.  ], Action: 0, Reward: -0.0, Next state: [60.  27.3  7.   5. ]
State: [60.  27.3  7.   5. ], Action: 0, Reward: -0.0, Next state: [60. 34.  8.  5.]
State: [60. 34.  8.  5.], Action: 0, Reward: -0.0, Next state: [60.   40.01  9.    5.  ]
State: [60.   40.01  9.    5.  ], Action: 0, Reward: -0.0, Next state: [60. 45. 10.  5.]
State: [60. 45. 10.  5.], Action: 1, Reward: -450.0, Next state: [70.   50.34 11.    5.  ]
State: [70.   50.34 11.    5.  ], Action: 1, Reward: -503.40000000000003, Next state: [80.   49.84 12.    5.  ]
State: [80.   49.84 12.    5.  ], Action: 1, Reward: -498.40000000000003, Next state: [90.   48.81 13.    5.  ]
State: [90.   48.81 13.    5.  ], Action: 0, Reward: -0.0, Next state: [90.   47.94 14.    5.  ]
State: [90.   47.94 14.    5.  ], Action: 0, Reward: -0.0, Next state: [90.   40.06 15.    5.  ]
State: [90.   40.06 15.    5.  ], Action: 0, Reward: -0.0, Next state: [90. 38. 16.  5.]
State: [90. 38. 16.  5.], Action: 0, Reward: -0.0, Next state: [90.   38.61 17.    5.  ]
State: [90.   38.61 17.    5.  ], Action: 0, Reward: -0.0, Next state: [90.   49.84 18.    5.  ]
State: [90.   49.84 18.    5.  ], Action: 2, Reward: -498.40000000000003, Next state: [100.  53.  19.   5.]
State: [100.  53.  19.   5.], Action: 2, Reward: -530.0, Next state: [110.    45.91  20.     5.  ]
State: [110.    45.91  20.     5.  ], Action: 2, Reward: -459.09999999999997, Next state: [120.    36.74  21.     5.  ]
State: [120.    36.74  21.     5.  ], Action: 0, Reward: -0.0, Next state: [120.    29.61  22.     5.  ]
State: [120.    29.61  22.     5.  ], Action: 0, Reward: -0.0, Next state: [120.    30.61  23.     5.  ]
State: [120.    30.61  23.     5.  ], Action: 0, Reward: -0.0, Next state: [120.    27.51  24.     5.  ]
State: [120.    27.51  24.     5.  ], Action: 0, Reward: -0.0, Next state: [ 0. 25.  1.  6.]
State: [ 0. 25.  1.  6.], Action: 0, Reward: -0.0, Next state: [ 0.   22.99  2.    6.  ]
State: [ 0.   22.99  2.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   20.99  3.    6.  ]
State: [ 0.   20.99  3.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0. 18.  4.  6.]
State: [ 0. 18.  4.  6.], Action: 0, Reward: -0.0, Next state: [ 0.   16.95  5.    6.  ]
State: [ 0.   16.95  5.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   20.01  6.    6.  ]
State: [ 0.   20.01  6.    6.  ], Action: 1, Reward: -200.10000000000002, Next state: [10. 20.  7.  6.]
State: [10. 20.  7.  6.], Action: 1, Reward: -200.0, Next state: [20.   25.57  8.    6.  ]
State: [20.   25.57  8.    6.  ], Action: 1, Reward: -255.7, Next state: [30.   27.69  9.    6.  ]
State: [30.   27.69  9.    6.  ], Action: 1, Reward: -276.90000000000003, Next state: [40.   29.61 10.    6.  ]
State: [40.   29.61 10.    6.  ], Action: 2, Reward: -296.1, Next state: [50.   31.99 11.    6.  ]
State: [50.   31.99 11.    6.  ], Action: 2, Reward: -319.9, Next state: [60.   33.07 12.    6.  ]
State: [60.   33.07 12.    6.  ], Action: 1, Reward: -330.7, Next state: [70.   35.99 13.    6.  ]
State: [70.   35.99 13.    6.  ], Action: 1, Reward: -359.90000000000003, Next state: [80.   33.11 14.    6.  ]
State: [80.   33.11 14.    6.  ], Action: 1, Reward: -331.1, Next state: [90.  31.3 15.   6. ]
State: [90.  31.3 15.   6. ], Action: 1, Reward: -313.0, Next state: [100.    29.29  16.     6.  ]
State: [100.    29.29  16.     6.  ], Action: 1, Reward: -292.9, Next state: [110.    30.19  17.     6.  ]
State: [110.    30.19  17.     6.  ], Action: 1, Reward: -301.90000000000003, Next state: [120.    42.05  18.     6.  ]
State: [120.    42.05  18.     6.  ], Action: 0, Reward: -0.0, Next state: [120.  50.  19.   6.]
State: [120.  50.  19.   6.], Action: 0, Reward: -0.0, Next state: [120.   48.3  20.    6. ]
State: [120.   48.3  20.    6. ], Action: 0, Reward: -0.0, Next state: [120.    34.49  21.     6.  ]
State: [120.    34.49  21.     6.  ], Action: 0, Reward: -0.0, Next state: [120.    28.99  22.     6.  ]
State: [120.    28.99  22.     6.  ], Action: 2, Reward: -289.9, Next state: [130.  30.  23.   6.]
State: [130.  30.  23.   6.], Action: 2, Reward: -300.0, Next state: [140.    26.75  24.     6.  ]
State: [140.    26.75  24.     6.  ], Action: 2, Reward: -267.5, Next state: [30. 22.  1.  7.]
State: [30. 22.  1.  7.], Action: 0, Reward: -0.0, Next state: [30.   18.29  2.    7.  ]
State: [30.   18.29  2.    7.  ], Action: 0, Reward: -0.0, Next state: [30.   16.59  3.    7.  ]
State: [30.   16.59  3.    7.  ], Action: 0, Reward: -0.0, Next state: [30.    9.17  4.    7.  ]
State: [30.    9.17  4.    7.  ], Action: 0, Reward: -0.0, Next state: [30.  8.  5.  7.]
State: [30.  8.  5.  7.], Action: 0, Reward: -0.0, Next state: [30.    8.19  6.    7.  ]
State: [30.    8.19  6.    7.  ], Action: 0, Reward: -0.0, Next state: [30.    9.01  7.    7.  ]
State: [30.    9.01  7.    7.  ], Action: 0, Reward: -0.0, Next state: [30.    9.06  8.    7.  ]
State: [30.    9.06  8.    7.  ], Action: 0, Reward: -0.0, Next state: [30.   12.59  9.    7.  ]
State: [30.   12.59  9.    7.  ], Action: 0, Reward: -0.0, Next state: [30.  16.1 10.   7. ]
State: [30.  16.1 10.   7. ], Action: 2, Reward: -161.0, Next state: [40. 23. 11.  7.]
State: [40. 23. 11.  7.], Action: 2, Reward: -230.0, Next state: [50.   28.27 12.    7.  ]
State: [50.   28.27 12.    7.  ], Action: 2, Reward: -282.7, Next state: [60.   26.91 13.    7.  ]
State: [60.   26.91 13.    7.  ], Action: 1, Reward: -269.1, Next state: [70.   23.99 14.    7.  ]
State: [70.   23.99 14.    7.  ], Action: 2, Reward: -239.89999999999998, Next state: [80.   20.99 15.    7.  ]
State: [80.   20.99 15.    7.  ], Action: 2, Reward: -209.89999999999998, Next state: [90.   22.59 16.    7.  ]
State: [90.   22.59 16.    7.  ], Action: 0, Reward: -0.0, Next state: [90.  22.6 17.   7. ]
State: [90.  22.6 17.   7. ], Action: 0, Reward: -0.0, Next state: [90.   33.49 18.    7.  ]
State: [90.   33.49 18.    7.  ], Action: 2, Reward: -334.90000000000003, Next state: [100.    34.99  19.     7.  ]
State: [100.    34.99  19.     7.  ], Action: 2, Reward: -349.90000000000003, Next state: [110.    35.99  20.     7.  ]
State: [110.    35.99  20.     7.  ], Action: 2, Reward: -359.90000000000003, Next state: [120.    35.69  21.     7.  ]
State: [120.    35.69  21.     7.  ], Action: 2, Reward: -356.9, Next state: [130.    29.39  22.     7.  ]
State: [130.    29.39  22.     7.  ], Action: 1, Reward: -293.9, Next state: [140.    31.29  23.     7.  ]
State: [140.    31.29  23.     7.  ], Action: 1, Reward: -312.9, Next state: [150.  23.  24.   7.]
State: [150.  23.  24.   7.], Action: 0, Reward: -0.0, Next state: [30. 13.  1.  8.]
State: [30. 13.  1.  8.], Action: 1, Reward: -130.0, Next state: [40. 13.  2.  8.]
State: [40. 13.  2.  8.], Action: 1, Reward: -130.0, Next state: [50. 10.  3.  8.]
State: [50. 10.  3.  8.], Action: 1, Reward: -100.0, Next state: [60.   3.4  4.   8. ]
State: [60.   3.4  4.   8. ], Action: 0, Reward: -0.0, Next state: [60. 10.  5.  8.]
State: [60. 10.  5.  8.], Action: 0, Reward: -0.0, Next state: [60. 13.  6.  8.]
State: [60. 13.  6.  8.], Action: 1, Reward: -130.0, Next state: [70.   24.01  7.    8.  ]
State: [70.   24.01  7.    8.  ], Action: 1, Reward: -240.10000000000002, Next state: [80.  43.9  8.   8. ]
State: [80.  43.9  8.   8. ], Action: 1, Reward: -439.0, Next state: [90.  45.7  9.   8. ]
State: [90.  45.7  9.   8. ], Action: 0, Reward: -0.0, Next state: [90. 43. 10.  8.]
State: [90. 43. 10.  8.], Action: 0, Reward: -0.0, Next state: [90. 43. 11.  8.]
State: [90. 43. 11.  8.], Action: 0, Reward: -0.0, Next state: [90. 46. 12.  8.]
State: [90. 46. 12.  8.], Action: 0, Reward: -0.0, Next state: [90.   46.01 13.    8.  ]
State: [90.   46.01 13.    8.  ], Action: 0, Reward: -0.0, Next state: [90.   46.01 14.    8.  ]
State: [90.   46.01 14.    8.  ], Action: 0, Reward: -0.0, Next state: [90.   40.07 15.    8.  ]
State: [90.   40.07 15.    8.  ], Action: 0, Reward: -0.0, Next state: [90.   38.97 16.    8.  ]
State: [90.   38.97 16.    8.  ], Action: 0, Reward: -0.0, Next state: [90.   46.01 17.    8.  ]
State: [90.   46.01 17.    8.  ], Action: 0, Reward: -0.0, Next state: [90.   52.01 18.    8.  ]
State: [90.   52.01 18.    8.  ], Action: 2, Reward: -520.1, Next state: [100.  54.  19.   8.]
State: [100.  54.  19.   8.], Action: 2, Reward: -540.0, Next state: [110.    50.17  20.     8.  ]
State: [110.    50.17  20.     8.  ], Action: 2, Reward: -501.70000000000005, Next state: [120.  45.  21.   8.]
State: [120.  45.  21.   8.], Action: 0, Reward: -0.0, Next state: [120.    30.56  22.     8.  ]
State: [120.    30.56  22.     8.  ], Action: 2, Reward: -305.59999999999997, Next state: [130.    30.01  23.     8.  ]
State: [130.    30.01  23.     8.  ], Action: 2, Reward: -300.1, Next state: [140.    28.01  24.     8.  ]
State: [140.    28.01  24.     8.  ], Action: 2, Reward: -280.1, Next state: [30.   18.51  1.    9.  ]
State: [30.   18.51  1.    9.  ], Action: 2, Reward: -185.10000000000002, Next state: [40.   16.81  2.    9.  ]
State: [40.   16.81  2.    9.  ], Action: 2, Reward: -168.1, Next state: [50.   13.01  3.    9.  ]
State: [50.   13.01  3.    9.  ], Action: 2, Reward: -130.1, Next state: [60.   10.01  4.    9.  ]
State: [60.   10.01  4.    9.  ], Action: 0, Reward: -0.0, Next state: [60.    8.17  5.    9.  ]
State: [60.    8.17  5.    9.  ], Action: 0, Reward: -0.0, Next state: [60. 16.  6.  9.]
State: [60. 16.  6.  9.], Action: 2, Reward: -160.0, Next state: [70. 26.  7.  9.]
State: [70. 26.  7.  9.], Action: 2, Reward: -260.0, Next state: [80.   36.54  8.    9.  ]
State: [80.   36.54  8.    9.  ], Action: 2, Reward: -365.4, Next state: [90. 40.  9.  9.]
State: [90. 40.  9.  9.], Action: 0, Reward: -0.0, Next state: [90.   39.33 10.    9.  ]
State: [90.   39.33 10.    9.  ], Action: 0, Reward: -0.0, Next state: [90.   40.69 11.    9.  ]
State: [90.   40.69 11.    9.  ], Action: 0, Reward: -0.0, Next state: [90. 42. 12.  9.]
State: [90. 42. 12.  9.], Action: 0, Reward: -0.0, Next state: [90.   39.28 13.    9.  ]
State: [90.   39.28 13.    9.  ], Action: 0, Reward: -0.0, Next state: [90.   37.86 14.    9.  ]
State: [90.   37.86 14.    9.  ], Action: 0, Reward: -0.0, Next state: [90. 36. 15.  9.]
State: [90. 36. 15.  9.], Action: 0, Reward: -0.0, Next state: [90.   32.31 16.    9.  ]
State: [90.   32.31 16.    9.  ], Action: 0, Reward: -0.0, Next state: [90.   38.76 17.    9.  ]
State: [90.   38.76 17.    9.  ], Action: 0, Reward: -0.0, Next state: [90.   47.82 18.    9.  ]
State: [90.   47.82 18.    9.  ], Action: 1, Reward: -478.2, Next state: [100.    54.14  19.     9.  ]
State: [100.    54.14  19.     9.  ], Action: 1, Reward: -541.4, Next state: [110.   48.1  20.    9. ]
State: [110.   48.1  20.    9. ], Action: 1, Reward: -481.0, Next state: [120.    44.95  21.     9.  ]
State: [120.    44.95  21.     9.  ], Action: 0, Reward: -0.0, Next state: [120.  30.  22.   9.]
State: [120.  30.  22.   9.], Action: 1, Reward: -300.0, Next state: [130.   27.5  23.    9. ]
State: [130.   27.5  23.    9. ], Action: 1, Reward: -275.0, Next state: [140.    23.13  24.     9.  ]
State: [140.    23.13  24.     9.  ], Action: 1, Reward: -231.29999999999998, Next state: [30.   12.43  1.   10.  ]
State: [30.   12.43  1.   10.  ], Action: 2, Reward: -124.3, Next state: [40.   15.09  2.   10.  ]
State: [40.   15.09  2.   10.  ], Action: 2, Reward: -150.9, Next state: [50.   13.04  3.   10.  ]
State: [50.   13.04  3.   10.  ], Action: 2, Reward: -130.39999999999998, Next state: [60.   12.01  4.   10.  ]
State: [60.   12.01  4.   10.  ], Action: 0, Reward: -0.0, Next state: [60.   11.26  5.   10.  ]
State: [60.   11.26  5.   10.  ], Action: 0, Reward: -0.0, Next state: [60. 16.  6. 10.]
State: [60. 16.  6. 10.], Action: 2, Reward: -160.0, Next state: [70.   21.01  7.   10.  ]
State: [70.   21.01  7.   10.  ], Action: 2, Reward: -210.10000000000002, Next state: [80. 36.  8. 10.]
State: [80. 36.  8. 10.], Action: 2, Reward: -360.0, Next state: [90.   35.87  9.   10.  ]
State: [90.   35.87  9.   10.  ], Action: 0, Reward: -0.0, Next state: [90.   37.21 10.   10.  ]
State: [90.   37.21 10.   10.  ], Action: 0, Reward: -0.0, Next state: [90.  37.1 11.  10. ]
State: [90.  37.1 11.  10. ], Action: 0, Reward: -0.0, Next state: [90.   37.05 12.   10.  ]
State: [90.   37.05 12.   10.  ], Action: 0, Reward: -0.0, Next state: [90.   37.48 13.   10.  ]
State: [90.   37.48 13.   10.  ], Action: 0, Reward: -0.0, Next state: [90.   36.11 14.   10.  ]
State: [90.   36.11 14.   10.  ], Action: 2, Reward: -361.1, Next state: [100.    36.01  15.    10.  ]
State: [100.    36.01  15.    10.  ], Action: 2, Reward: -360.09999999999997, Next state: [110.    34.21  16.    10.  ]
State: [110.    34.21  16.    10.  ], Action: 2, Reward: -342.1, Next state: [120.    38.06  17.    10.  ]
State: [120.    38.06  17.    10.  ], Action: 0, Reward: -0.0, Next state: [120.  46.  18.  10.]
State: [120.  46.  18.  10.], Action: 0, Reward: -0.0, Next state: [120.  50.  19.  10.]
State: [120.  50.  19.  10.], Action: 0, Reward: -0.0, Next state: [120.    42.54  20.    10.  ]
State: [120.    42.54  20.    10.  ], Action: 0, Reward: -0.0, Next state: [120.    38.07  21.    10.  ]
State: [120.    38.07  21.    10.  ], Action: 0, Reward: -0.0, Next state: [120.   30.5  22.   10. ]
State: [120.   30.5  22.   10. ], Action: 2, Reward: -305.0, Next state: [130.  28.  23.  10.]
State: [130.  28.  23.  10.], Action: 2, Reward: -280.0, Next state: [140.    27.18  24.    10.  ]
State: [140.    27.18  24.    10.  ], Action: 2, Reward: -271.8, Next state: [30.  15.4  1.  11. ]
State: [30.  15.4  1.  11. ], Action: 2, Reward: -154.0, Next state: [40.   16.71  2.   11.  ]
State: [40.   16.71  2.   11.  ], Action: 2, Reward: -167.10000000000002, Next state: [50.  14.8  3.  11. ]
State: [50.  14.8  3.  11. ], Action: 2, Reward: -148.0, Next state: [60.   9.5  4.  11. ]
State: [60.   9.5  4.  11. ], Action: 0, Reward: -0.0, Next state: [60.    8.18  5.   11.  ]
State: [60.    8.18  5.   11.  ], Action: 0, Reward: -0.0, Next state: [60.  15.5  6.  11. ]
State: [60.  15.5  6.  11. ], Action: 0, Reward: -0.0, Next state: [60.   22.91  7.   11.  ]
State: [60.   22.91  7.   11.  ], Action: 0, Reward: -0.0, Next state: [60.   35.99  8.   11.  ]
State: [60.   35.99  8.   11.  ], Action: 0, Reward: -0.0, Next state: [60.   39.93  9.   11.  ]
State: [60.   39.93  9.   11.  ], Action: 0, Reward: -0.0, Next state: [60.   39.44 10.   11.  ]
State: [60.   39.44 10.   11.  ], Action: 0, Reward: -0.0, Next state: [60. 38. 11. 11.]
State: [60. 38. 11. 11.], Action: 0, Reward: -0.0, Next state: [60. 38. 12. 11.]
State: [60. 38. 12. 11.], Action: 0, Reward: -0.0, Next state: [60.   37.05 13.   11.  ]
State: [60.   37.05 13.   11.  ], Action: 0, Reward: -0.0, Next state: [60.   35.69 14.   11.  ]
