Transition Profile during evaluationwithout reward shaping:
Q-table shape: (5, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [10, 10, 6, 7]
Bins length: 4
Bins: [array([  0.,  29.,  58.,  87., 116., 145., 174., 203., 232., 261., 290.]), array([1.000000e-02, 2.500090e+02, 5.000080e+02, 7.500070e+02,
       1.000006e+03, 1.250005e+03, 1.500004e+03, 1.750003e+03,
       2.000002e+03, 2.250001e+03, 2.500000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 10
State: [30.   18.99  4.    3.  ], Action: 0, Reward: -0.0, Next state: [30.  15.5  5.   3. ]
State: [30.  15.5  5.   3. ], Action: 0, Reward: -0.0, Next state: [30.   23.11  6.    3.  ]
State: [30.   23.11  6.    3.  ], Action: 1, Reward: -231.1, Next state: [40.   29.01  7.    3.  ]
State: [40.   29.01  7.    3.  ], Action: 1, Reward: -290.1, Next state: [50.   39.73  8.    3.  ]
State: [50.   39.73  8.    3.  ], Action: 1, Reward: -397.29999999999995, Next state: [60.   43.81  9.    3.  ]
State: [60.   43.81  9.    3.  ], Action: 0, Reward: -0.0, Next state: [60.   49.09 10.    3.  ]
State: [60.   49.09 10.    3.  ], Action: 0, Reward: -0.0, Next state: [60. 51. 11.  3.]
State: [60. 51. 11.  3.], Action: 0, Reward: -0.0, Next state: [60.   53.04 12.    3.  ]
State: [60.   53.04 12.    3.  ], Action: 0, Reward: -0.0, Next state: [60.   49.99 13.    3.  ]
State: [60.   49.99 13.    3.  ], Action: 0, Reward: -0.0, Next state: [60. 47. 14.  3.]
State: [60. 47. 14.  3.], Action: 0, Reward: -0.0, Next state: [60.   43.21 15.    3.  ]
State: [60.   43.21 15.    3.  ], Action: 0, Reward: -0.0, Next state: [60.   43.99 16.    3.  ]
State: [60.   43.99 16.    3.  ], Action: 0, Reward: -0.0, Next state: [60. 48. 17.  3.]
State: [60. 48. 17.  3.], Action: 0, Reward: -0.0, Next state: [60. 57. 18.  3.]
State: [60. 57. 18.  3.], Action: 0, Reward: -0.0, Next state: [60.   60.99 19.    3.  ]
State: [60.   60.99 19.    3.  ], Action: 0, Reward: -609.9, Next state: [70.   55.51 20.    3.  ]
State: [70.   55.51 20.    3.  ], Action: 0, Reward: -555.1, Next state: [80.   51.77 21.    3.  ]
State: [80.   51.77 21.    3.  ], Action: 0, Reward: -517.7, Next state: [90.   34.51 22.    3.  ]
State: [90.   34.51 22.    3.  ], Action: 0, Reward: -345.09999999999997, Next state: [100.    39.31  23.     3.  ]
State: [100.    39.31  23.     3.  ], Action: 0, Reward: -393.1, Next state: [110.    38.05  24.     3.  ]
State: [110.    38.05  24.     3.  ], Action: 0, Reward: -380.5, Next state: [ 0.   31.01  1.    4.  ]
State: [ 0.   31.01  1.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   28.69  2.    4.  ]
State: [ 0.   28.69  2.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0. 27.  3.  4.]
State: [ 0. 27.  3.  4.], Action: 0, Reward: -0.0, Next state: [ 0.  24.2  4.   4. ]
State: [ 0.  24.2  4.   4. ], Action: 0, Reward: -0.0, Next state: [ 0.   12.02  5.    4.  ]
State: [ 0.   12.02  5.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0. 27.  6.  4.]
State: [ 0. 27.  6.  4.], Action: 2, Reward: -270.0, Next state: [10. 28.  7.  4.]
State: [10. 28.  7.  4.], Action: 2, Reward: -280.0, Next state: [20.   34.85  8.    4.  ]
State: [20.   34.85  8.    4.  ], Action: 2, Reward: -348.5, Next state: [30.   41.31  9.    4.  ]
State: [30.   41.31  9.    4.  ], Action: 2, Reward: -413.1, Next state: [40.   42.03 10.    4.  ]
State: [40.   42.03 10.    4.  ], Action: 0, Reward: -0.0, Next state: [40. 46. 11.  4.]
State: [40. 46. 11.  4.], Action: 0, Reward: -0.0, Next state: [40.   45.96 12.    4.  ]
State: [40.   45.96 12.    4.  ], Action: 0, Reward: -0.0, Next state: [40.  45.6 13.   4. ]
State: [40.  45.6 13.   4. ], Action: 0, Reward: -0.0, Next state: [40.   42.35 14.    4.  ]
State: [40.   42.35 14.    4.  ], Action: 2, Reward: -423.5, Next state: [50.   40.01 15.    4.  ]
State: [50.   40.01 15.    4.  ], Action: 2, Reward: -400.09999999999997, Next state: [60. 38. 16.  4.]
State: [60. 38. 16.  4.], Action: 0, Reward: -0.0, Next state: [60.   42.66 17.    4.  ]
State: [60.   42.66 17.    4.  ], Action: 0, Reward: -0.0, Next state: [60. 53. 18.  4.]
State: [60. 53. 18.  4.], Action: 0, Reward: -0.0, Next state: [60.   58.99 19.    4.  ]
State: [60.   58.99 19.    4.  ], Action: 0, Reward: -589.9, Next state: [70.  53.5 20.   4. ]
State: [70.  53.5 20.   4. ], Action: 0, Reward: -535.0, Next state: [80.   44.01 21.    4.  ]
State: [80.   44.01 21.    4.  ], Action: 0, Reward: -440.09999999999997, Next state: [90. 35. 22.  4.]
State: [90. 35. 22.  4.], Action: 0, Reward: -350.0, Next state: [100.    34.46  23.     4.  ]
State: [100.    34.46  23.     4.  ], Action: 0, Reward: -344.6, Next state: [110.    31.57  24.     4.  ]
State: [110.    31.57  24.     4.  ], Action: 0, Reward: -315.7, Next state: [ 0. 22.  1.  5.]
State: [ 0. 22.  1.  5.], Action: 2, Reward: -220.0, Next state: [10.  19.5  2.   5. ]
State: [10.  19.5  2.   5. ], Action: 2, Reward: -195.0, Next state: [20.   17.55  3.    5.  ]
State: [20.   17.55  3.    5.  ], Action: 2, Reward: -175.5, Next state: [30.   15.91  4.    5.  ]
